No;Ataque;País;Tipo de Ataque;Concepto del Ataque;Fecha;Analisis;Ley y/o Articulo;Penas;Prevención;Enlace;Aporte de la Informática Forense en este caso;Evidencia por Recolectar;"Nombre del Analista ""Informática Forense"""
1;"
Cuidado en el próximo Amazon Prime Day: aumentan las webs falsas para estafarte";"Estados Unidos
A nivel general";phishing;Enviarán millones de correos a usuarios indicando que hay algún tipo de problema con la compra y que hay que acceder al enlace para finalizar el pedido. (engaño por medio de suplantación de empresas y envio de información por medio de correo electrónico);08 de Julio del 2024;La idea de los ciberatacantes es crear un sitio que sea semejante al de Amazon para engañar al usuario y que compre. Posiblemente preparen una campaña de phishing en la que enviarán millones de correos a usuarios indicando que hay algún tipo de problema con la compra y que hay que acceder al enlace para finalizar el pedido.;Ley 1273 del 2009 - 269 G Suplantación de Sitios Web para  adquirir y capturar datos personales;Prisión de 48 a 96 meses y  multa de 100 a 1000 salarios minimos legales vigentes ;desconfía de cualquier correo que te llegue. Fíjate en el remitente, que no haya faltas ortográficas y que la URL que te envíen de enlace sea la oficial de Amazon. También debes verificar que la URL del sitio web comienza con “https://” y tiene un icono de candado, lo que indica una conexión segura;https://cincodias.elpais.com/smartlife/lifestyle/2024-07-08/cuidado-en-el-proximo-amazon-prime-day-aumentan-las-webs-falsas-para-estafarte.html;La informática forense puede rastrear las fuentes de correos o sitios web maliciosos, analizando encabezados de correo electrónico, registros de red, y posibles metadatos en los mensajes o sitios falsos. También puede identificar patrones de envío o equipos utilizados, permitiendo así el rastreo hasta los atacantes.;"Encabezados y contenido de correos electrónicos maliciosos.
URLs y metadatos de sitios web fraudulentos.
Registros de actividad en redes y dispositivos.
Archivos de registro de autenticación y accesos fallidos.
Direcciones IP de origen y cuentas bancarias o correos electrónicos de remitentes sospechosos.";Docente
2;"Be careful during the upcoming Amazon Prime Day: there's been a rise in fake websites designed to scam you""";"United States
Overall";phishing;They will send millions of emails to users claiming that there is some kind of problem with their purchase and that they need to click on the link to complete the order. (scam involving impersonation of companies and the sending of information via email);July 8, 2024;Cyberattackers aim to create a website that looks like Amazon’s to trick users into making a purchase. They may launch a phishing campaign in which they send millions of emails to users claiming there is a problem with their order and instructing them to click on a link to complete the purchase.;Law 1273 of 2009 - 269 G Phishing Websites to  Acquire and Capture Personal Data;Imprisonment for 48 to 96 months and a fine of 100 to 1,000 times the current legal minimum wage ;Be wary of any emails you receive. Check the sender’s address, make sure there are no spelling mistakes, and verify that the URL in the link is Amazon’s official one. You should also check that the website’s URL starts with “https://” and has a padlock icon, which indicates a secure connection;https://cincodias.elpais.com/smartlife/lifestyle/2024-07-08/cuidado-en-el-proximo-amazon-prime-day-aumentan-las-webs-falsas-para-estafarte.html;Computer forensics can trace the sources of malicious emails or websites by analyzing email headers, network logs, and any metadata contained in the messages or fake sites. It can also identify sending patterns or the devices used, thereby enabling the tracking of attackers.;"Headers and content of malicious emails.
URLs and metadata from fraudulent websites.
Activity logs from networks and devices.
Authentication logs and records of failed login attempts.
Source IP addresses and bank accounts or email addresses of suspicious senders.";Docente
3;Avianca Attack (APT Blind Eagle);Colombia;Spear Pishing/ATP;A cybercriminal group carried out a targeted campaing using phishing emails with malicious attachments (URL files), exploiting vulnerabilities to steal credentials and deploy malware (AsyncRAT, Quasar RAT), enabling remote access and lateral movement within the organization.;February - March 2025;The attackers executed a highly targeted APT campaign focused on employees and high-value users. They used advanced social engineering and recent vulnerabilities to compromise internal systems. The attack allowed unauthorized access, data theft, and disruption of services such as LifeMiles.;Law 1273 of 2009 (Cybercrime Law in Colombia) Art. 269A (Unauthorized access), 269B (Illegal obstruction), 269C (Data interception), 269F (Website spoofing);Prison sentences from 48 to 120 months and fines ranging from 100 to 1,000 legal minimun wages, depending on the offense.;Phishing awareness training, email verification, multifactor authentication (MFA), system updates, network monitoring, anomaly detection, use of antivirus/EDR, and strong security policies.;https://www.centuriointernational.com/blog-articles/estudio-de-caso-de-campana-de-phishing-de-la-aerolinea-avianca-2024-2025;Digital forensics can trace the origin of the attack, analyze malicious emails, identify deployed malware, reconstruct lateral movement within the network, and determine the scope of data compromise, supporting attribution of the attackers.;Email headers, malicious URL files, network logs, authentication logs, WebDAV traffic, malware execution artifacts, compromised credentials, internal system access logs, LifeMiles activity records.;Diego Meza R.
4;Hacienda Attack ;Spain/Madrid;Data Breach;The Ministry of Finance is investigating a potential cyberattack on its databases. According to the cyberattacker himself, who claimed responsibility in a specialized forum, the unauthorized access compromised the personal, banking, and tax data of approximately 47.3 million citizens.;february-02-2026;"Who attacked? An unknown actor calling themselves ""HaciendaSec,"" which is a significant red flag: serious attackers rarely identify themselves unless they want to create public pressure to force payment or sell the data faster.

What was (allegedly) stolen? Highly sensitive data from 47.3 million people: national identity card numbers, full names, addresses, phone numbers, email addresses, IBANs, and tax information. Combined, this data allows for bank fraud, identity theft, and very convincing phishing attacks.

How was it detected? It wasn't the Ministry itself that discovered it, but rather the cybersecurity firm Hackmanac monitoring dark web forums. This is significant: it suggests that internal detection systems either failed to alert the attackers or did so too late.
The key contradiction: The Ministry claims there is no evidence of intrusion, yet the attacker was already publicly selling the data. This could mean two things: either the data is fake/from another source, or the intrusion occurred but access logs don't yet show it (which is possible with well-executed attacks that cover their tracks).
Real risk to citizens: Even if the attack isn't confirmed, if the data is authentic, the 47 million affected individuals remain vulnerable to bank fraud, identity theft, and targeted phishing campaigns for years.";"Law 1273 of 2009 — Computer Crimes
Art. 269A — Unauthorized access to a computer system · up to 8 years imprisonment
Art. 269C — Interception of computer data
Art. 269J — Unauthorized transfer of assets · up to 16 years if there is widespread harm";"Article 269A — Unauthorized Access to a Computer System
Entering the Tax Agency's databases without permission
Penalty: 48 to 96 months imprisonment + fine of 100 to 1,000 times the monthly minimum wage
Article 269C — Interception of Data
Capturing personal, banking, and tax data during extraction
Penalty: 36 to 72 months imprisonment + fine of 100 to 1,000 times the monthly minimum wage
Article 269G — Website Spoofing
If the data was used to create fake websites or deceive victims
Penalty: 48 to 96 months imprisonment + fine of 100 to 1,000 times the monthly minimum wage
Article 269J — Unauthorized Transfer of Assets
Selling the data of 47 million citizens on the dark web
Base Penalty: 48 to 120 months imprisonment + fine of 200 to 1,500 times the monthly minimum wage the main and most serious crime in the case";"Layer 1 — Authentication (counters credential stuffing): The most critical measure in this case. If the Tax Agency had implemented MFA (two-factor authentication), the credentials stolen from previous leaks would have been useless. The attacker would have the password but not the second factor. Additionally, tools like HaveIBeenPwned allow for automatic verification of whether employee credentials have appeared in previous leaks.

Layer 2 — Access Control (counters IDOR): This is the direct correction of the technical vulnerability used. The rule is simple: before returning any data, the system must verify that the person requesting the record with ID number X has permission to view that record. If they don't, the request is denied. It seems obvious, but it's one of the most common errors in legacy government systems.

Layer 3 — Monitoring: A system that detects the same IP address querying millions of records sequentially must automatically block access. The IDOR attack involves enumerating IDs one by one, generating a highly recognizable traffic pattern in the logs.

Layer 4 — Encryption: Even if the attacker manages to extract the database, if the data is encrypted at rest, all they get is unreadable garbage. This doesn't prevent theft, but it does eliminate the value of the stolen data.

Layer 5 — Response: Having a defined protocol before the incident occurs reduces reaction time from days to hours, limits the damage, and complies with the GDPR's 72-hour notification requirements.";https://elpais.com/economia/2026-02-02/hacienda-investiga-un-posible-hackeo-que-compromete-datos-personales-bancarios-y-fiscales-de-ciudadanos.html;This case is especially valuable for digital forensics because it brings together several critical elements commonly found in real-world incidents: an alleged massive data breach, a publicly identified attacker, information disseminated on forums and social media, and an institution that initially denies having been compromised. This combination forces investigators to work on multiple fronts simultaneously, applying technical analysis of systems and logs, OSINT techniques to track the actor and verify the published information, and formal processes for collecting and preserving digital evidence to ensure its legal validity.;"Key evidence to collect:

System logs: database accesses, failed authentication attempts, and unusual server activity.
Network traffic: to identify potential massive data transfers or suspicious external connections.
Copies of compromised databases: to compare the leaked data with the originals.
Forum and social media posts: as part of OSINT analysis, to trace the attacker and verify the authenticity of the leak.
Devices and user accounts with privileged access: to rule out or confirm misuse of internal credentials.

All this evidence must be collected following the Chain of Custody protocol to ensure its legal admissibility in an investigation or legal proceeding.";Juan Guillermo Cardona Cifuentes
5;Real Estate Wealth Network Leak ;United States;Phising;The Real Estate Wealth Network leak was trigerred by misconfigured security settings which rendered the system vulnerable. Esentially, the company's database which was hosted on an unsecure server in the internet without any stringent protection method , such as a password , encryption or access restriction. This oversight allowed unathorized acess, consequently, an investigator figured out about this and discovered that the database had plenty of sensitive records, leading to the conclusion that the breach resulted from the lack of fundamental security protocols ,which tranformed the company0s information into public knowledge for anyone who was aware of the vulnerability.;2023;The incident was caused by poor security configuration rather than a sophisticated cyberattack. The lack of basic cybersecurity controls, such as access management and encryption, allowed external actors to access sensitive data. This highlights the importance of secure server configuration and continuous monitoring to prevent data exposure.;Computer Fraud and Abuse Act (CFAA) – 18 U.S.C. § 1030;Penalties may include fines and imprisonment depending on the severity of unauthorized access and data misuse. In the U.S., violations under the CFAA can lead to several years in prison.;#NOMBRE?;https://www.pkware.com/blog/data-breach-report-january-2024-edition https://grcsolutions.io/list-of-data-breaches-and-cyber-attacks-in-2023/;Digital forensics helps identify how the breach occurred, determine the extent of data exposure, trace unauthorized access, and collect evidence for legal proceedings. It also supports incident response and future prevention strategies.;#NOMBRE?;Yuliam Andrey Osorio Puerta
8;Pro-Israel hackers destroy $90 million in Iran crypto exchange breach, analytics firm says;Iran;Physical intrusion and Wiper Malwar;Pro-Israeli hackers stole and destroyed over $90 million in cryptocurrency from the Iranian exchange Nobitex. The Israeli-linked group Gonjeshke Darande (Predatory Sparrow) claimed responsibility for the attack as a political statement against Iran's funding of terrorism and sanctions evasion;2025;"This hack of Nobitex by Predatory Sparrow (June 2025) was a destructive-political cyberattack that destroyed $90 million in cryptocurrency, exposing the exchange's role in sanctions evasion and the financing of the IRGC, Hamas, and Houthis.
Geopolitical Implications: 
It escalated the Israeli-Iranian cyberwar during their direct conflict, revealing sabotage tactics (funds ""burned"" in vanity addresses) rather than outright theft, with code leaks exposing state surveillance at Nobitex and privileges for regime VIPs.
Economic Impact: 
It generated capital flight (over 150% outflows), a loss of confidence in Iranian platforms, trade restrictions by the Central Bank, and a potential migration to P2P/offshore; Iran relies on cryptocurrency and BTC mining to circumvent sanctions.
Future Trends
The risk of hacktivist attacks on crypto increases during geopolitical tensions, prioritizing disruption and intelligence over financial gain, unlike groups such as Lazarus.
";The Budapest Convention on Cybercrime (2001), ratified by Iran indirectly through similar regulations, prohibits damage to the integrity/confidentiality of data (Articles 4-5). It does not directly apply to Israel (a non-signatory);U.S. views it as sanctions evasion under OFAC and CFAA (18 U.S.C. § 1030) for similar offenses.;"Adopting frameworks such as NIST Cybersecurity or ISO 27001, with off-chain backups and cyber insurance; Nobitex failed in early detection despite its role in Iran.";https://www.cnbc.com/2025/06/18/pro-israel-hackers-iran-crypto.html#:~:text=Seg%C3%BAn%20Elliptic%2C%20los%20fondos%20fueron,que%20el%20pa%C3%ADs%20se%20rinda.;Digital forensics helps reconstruct the attack on Nobitex by analyzing logs, wallets, and databases to identify how the hackers gained access and when the funds were moved. It also uses blockchain tools to trace Bitcoin and other cryptocurrency transactions, detect patterns, and link the attack to the Predatory Sparrow group. Finally, it generates reports that support law enforcement investigations, potential sanctions, and improved security controls on the platform.;"In a case like the Nobitex hack, the following should be collected: server, network, and application logs; forensic images of disks and equipment; authentication and key change logs; wallet addresses and blockchain transactions; screenshots and messages where the group claims responsibility for the attack; and internal communications about the incident. All of this should be preserved with a chain of custody and supported by crypto forensic analysis tools.";Carlos Enrique Díaz Hernández
9;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
10;ransomware WannaCry ;United Kingdom;Ransomware;"The WannaCry ransomware* attack was a major security incident that affected organizations around the world. On May 12, 2017, the WannaCry ransomware worm spread to more than 200,000 computers in more than 150 countries. High-profile victims include FedEx, Honda, Nissan and the UK's National Health Service (NHS), which was forced to divert some of its ambulances to other hospitals.
Within hours of the attack, WannaCry was temporarily neutralized. A security researcher discovered a ""kill switch"" that essentially disabled the malware. However, many affected computers remained encrypted and unusable until victims paid the ransom or were able to reverse the encryption.
WannaCry spread by exploiting a vulnerability called ""EternalBlue."" The US National Security Agency (NSA) had developed this exploit, supposedly for its own use, but a group known as Shadow Brokers stole it and made it public after the NSA itself was compromised. EternalBlue only worked on older, unpatched versions of Microsoft Windows, but there were many machines still running those versions, allowing WannaCry to spread rapidly.
";Friday May 12 -2017;"On the day of the attack, Marcus Hutchins, a blogger and security researcher, began reverse engineering WannaCry's source code. He discovered that WannaCry included an unusual feature: before running, it performed a query for the domain iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com. This website did not exist.
So he registered the domain. (It costs $10.69).
After Hutchins did this, copies of WannaCry continued to spread, but stopped running. Basically, WannaCry stopped working on its own once it started receiving a response from iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com."; law Budapest Convention on Cybercrime;Art. 269  malicious software.;"However, if the malware sends its test query to a hardcoded domain, if someone registers the domain, they can be tricked into thinking they are always in a secure space. Perhaps this happened with WannaCry: copies of WannaCry around the world were tricked into thinking they were in a secure space, and were disabled. (A better design, from the malware author's point of view, would be to query a random domain that was different each time; that way the chances of getting a response from the domain outside of a safe space would be close to zero.)

Another possible explanation is that the copy of WannaCry that spread around the world was unfinished. The WannaCry authors may have used hardcode in that domain as a marker, intending to replace it with the address of their command and control (C&C) server before releasing the worm. Or they may have wanted to register iuqerfsodp9ifjaposdfjhgosurijfaewrwergwea.com themselves. (Perhaps DNS filtering or URL filtering could have stopped queries to that domain, but most organizations would not have been able to implement this security measure in time.)

Regardless of the reason, it was fortunate that such a simple action could save computers and networks around the world from further infections.";https://www.cloudflare.com/es-es/learning/security/ransomware/wannacry-ransomware/;"The version of WannaCry that spread in 2017 no longer works, thanks to Hutchins' mastery of the kill button. Additionally, a patch is available for the EternalBlue vulnerability that WannaCry had been exploiting since March 2017.
However, WannaCry attacks continue to occur. As of March 2021, WannaCry was still exploiting the EternalBlue vulnerability, meaning that only extremely old and outdated Windows systems were at risk. Newer versions of WannaCry have removed the kill button feature that was in the original version. It is strongly recommended that operating systems be updated and security updates installed immediately.
Although the original version of WannaCry is no longer active, several important lessons can be learned from the May 2017 attack:";"computers attacked 

 network services 

 cryptographic security";"Darly 
Johana
Rodriguez
Villamizar "
11;Okta Customer Support System Breach;United States;Session Hijacking / Unauthorized Access to Support Systems.;"Attackers breached Okta's customer support system to steal diagnostic files (HAR files) uploaded by clients. These files contained active ""session tokens,"" allowing hackers to hijack customer accounts and bypass passwords and 2FA entirely.";September - October 2023;This incident highlights the danger of targeting weak links. Instead of attacking the main authentication software, hackers breached the support portal. It proves that stealing active session tokens is currently one of the most effective ways to bypass modern security like two-factor authentication (2FA).;U.S. Computer Fraud and Abuse Act (CFAA) - 18 U.S.C: Intentionally accessing a computer without authorization or exceeding authorized access to obtain information.;Up to 5 to 10 years in federal prison per count, plus significant financial fines under the U.S. CFAA, depending on the stolen data's value.;Automatically sanitize diagnostic files (like HAR files) to remove credentials before uploading. Enforce IP binding for session tokens to restrict access to trusted networks only.;"https://arstechnica.com/security/2023/10/okta-says-hackers-breached-its-support-system-and-viewed-customer-files/

https://blog.cloudflare.com/how-cloudflare-mitigated-yet-another-okta-compromise/";In my analysis of this case, I found that digital forensics was key to tracing the attacker's lateral movement. I identified that forensic investigators had to analyze system logs to pinpoint the exact compromised service account and determine specifically which customer diagnostic files (HAR files) were exfiltrated from the support portal;"Support system access logs.

Raw HAR files uploaded by customers.

Compromised session tokens.

Attacker IP addresses.

Administrative audit logs.";Jersson Jair Suarez Sanabria
12;Cyber espionage campaign using malware (Kazuar backdoor);Russia;Advanced Persistent Threat (APT) - State-sporsored cyber espionage;This attack a cyber espionage campaign in whitch Russian threat groups Gamredon and Turla collaborate to compromise systems in Ukraine. The attackers use spear-phishing techniques to gain initial access and deploy a backdoor malware known as Kazuar, whitch anables remote control, data exfiltration, and persistent access to infacted systems.;2025 (mainly between February and June);This attack is highly sophisticated as it involves coordination between two state-sponsored APT groups. Gamaredon is responsible for initial access, typically through phishing campaigns, while Turla deploys the Kazuar malware to maintain persistence and exfiltrate sensitive data. This collaboration highlights the evolution of cyber warfare, where multiple threat actors work together to increase the effectiveness and impact of cyber operations.;"Law and/or Article (Russia):
Criminal Code of the Russian Federation:

Article 272: Illegal access to computer information
Article 273: Creation, use, and distribution of malicious software
Article 274: Violation of computer system operation rules";"Article 272: Up to 2 years of imprisonment (up to 5 years with aggravating circumstances)
Article 273: Up to 4 years (up to 7 years if serious damage is caused)
Article 274: Up to 2 years of imprisonment or fines";Layer 5 — Response: Having a defined protocol before the incident occurs reduces reaction time from days to hours, limits the damage, and complies with the GDPR's 72-hour notification requirements.;https://thehackernews.com/2025/09/russian-hackers-gamaredon-and-turla.html;Digital forensics is essential in this case to analyze how the attackers gained access, maintained persistence, and exfiltrated data. Through forensic techniques, investigators can examine system logs, detect the presence of Kazuar malware, and reconstruct the attack timeline;"System event logs (login attempts, privilege changes, execution events)
Malicious files (Kazuar backdoor, scripts, payloads)
Network traffic captures (C2 communication, suspicious IP addresses)
Windows Registry artifacts (persistence mechanisms such as Run keys)
RAM memory dump (active processes, injected code, encryption keys)
Email artifacts (phishing messages, attachments, headers)";Daniel Navarro Rios
